AuthorName,ReviewBody,RatingValue,RatingMax,ReviewTitle,DatePublished,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Recommended,Departure,Arrival
R Heale,"✅Trip Verified|  BA shuttle service across the UK is still surprisingly a good product. When compared with BA long haul that doesn’t always get the best of comments at times. It’s reasonable priced, works well, fresh crews and no queues or long distances to walk. I don’t know why they still offer a COVID style bottle of water and snack when just stretching to a cup of tea and snack would be great add on for this service. Currently they have an on line sky cafe but it’s too fiddly to work or get connected in short trips.",8.0,10.0,"""surprisingly a good product""",2023-01-02,A321,Business,Economy Class,London to Belfast,2023-01,yes,London , Belfast
J Robins,"✅Trip Verified| I must admit like many others I tend to avoid BA long haul where possible due to the many poor reviews. But had my first ride on a BA A380 the other day so it was an exception. What can I say. Aircraft immaculate and economy seat really comfortable but that’s about it. IFE didn’t work but wasn’t that interesting anyway. I got the map screenshot for a while. Lunch was poor quality but plenty of nice white wine and other alcoholic drinks made up for it. Cabin crew pleasant but poor grooming lets them down. Some skirts, some trouser suits, some long sleeves some short. Some jackets some waistcoat. Some cardigans on at time and all in all they could have done better I think. Baggage delivery was really quick. Summing up well I am still not coming back to BA not yet. Maybe the old charm will return soon.",6.0,10.0,"""Maybe the old charm will return soon""",2023-01-01,A380,Business,Economy Class,Doha to London,2022-12,no,Doha , London
Stephen Segar,"Not Verified|  When will BA update their Business class cabin - 8 across on a 777. It is not so much travelling facing backwards as it were, but the cabin staff having to pass food trays across the front of passengers paying business class fares! As for having to pay to reserve a specific seat - an antiquated idea. The cabin staff were fine, food acceptable, check-in OK and Business lounge (breakfast) acceptable. The lack of space in the seating area, small screen and disfunctional entertainment equipment disappointing. Having to step over the reclining passengers feet is not attractive.",4.0,10.0,"""having to pay to reserve a specific seat""",2022-12-30,Boeing 777,Couple Leisure,Business Class,London to Barbados,2022-12,no,London , Barbados
J Meares,✅Trip Verified|  Paid £200 day before flight for an upgrade from economy to premium economy. At checkin they could not find my booking so a little wait while they rang someone who explains on the upgrade you get deleted from the system the checkin agent sees? Took about 5 minutes to resolve. Seat was nice enough. Stowage pocket in front a bit small. Food was reasonably nice. Shame that the bathroom is all the way back through economy and there is a bit of a queue. IFE system is good but selection mediocre. Worst part of the flight is that at CPT so we were on a remote stand and bussed in. Through passport control quickly but then it took an absolute age to get our luggage which ruined what would otherwise have been a reasonable flight. Upgrade was worth it at £200 maybe £300 (its a long flight) but their offers of £2000 or whatever for premium economy is comedy pricing. Score before the luggage fiasco would have been 7 or 8 / 10. With the luggage fiasco I can't rate it more than 4/10.,4.0,10.0,"""Upgrade was worth it""",2022-12-29,Boeing 777,Solo Leisure,Premium Economy,London Gatwick to Cape Town,2022-12,no,London Gatwick , Cape Town
J Meares,"✅Trip Verified|  BA website did not work (weirdly deleted my flight from ""upcoming flights"" on the day of departure). Chaos at Cape Town airport with hundreds queuing as the computers were down. Chaos at the gate / no queue management for premium passengers. Very nice new A350 with smart new club suite. Champagne warm (cabin crew said its impossible to serve it cold, which is not true as Air France manage it). Disappointing meal, wine served so late after the food you have finished by the time it arrives. Cheese ice cold and tasteless (why can't the champagne / white wine be in the fridge used for the cheese?). Good IFE system but mediocre film selection. Disappointing breakfast. Overall: 3 / 10. Flew Air France business the month before which was way better. So sad what's become of BA.",3.0,10.0,"""Disappointing meal""",2022-12-29,A350,Solo Leisure,Business Class,Cape Town to London,2022-12,no,Cape Town , London
Michel Perrin,"✅Trip Verified|  Old A320 with narrow pitch. Flight perfectly on time, with constant announcements from cockpit. Friendly staff, free chips and water. Quick luggage delivery at T5.",8.0,10.0,"""Flight perfectly on time""",2022-12-24,A320,Couple Leisure,Economy Class,Marseille to London,2022-12,yes,Marseille , London
Amanda Edgar,"✅Trip Verified|  Another BA Shambles. Started off well with excellent check in at first at t5, mid afternoon so avoided the early morning, evening scrum. Into the Concorde lounge, excellent service again. Great choice of cocktails, wine etc. Food ok a bit overcooked but pretty reasonable. Called to the boarding gate. Chaos, people jostling for position to get on the plane. People with children under 5 called before the 8 people in first bankrolling the flight and most of them well over 5. We get on to be told that none of the lights in first can be dimmed at all, so the lights were on all night. It was like being detained and interrogated! Excellent wine and champagne selection. Dinner menu handed out. I’ll have the prawn cocktail to start please. No you won’t as they’ve only loaded one for 8 people and the guy in 1A got it. I bet he felt like he’d won the lottery. Ok I’ll have the beef wellington, basically a freezing slice of beef with some lettuce. Mains,  I’ll have the curry, no you won’t as they’ve substituted that with Christmas dinner.  I’m going to the Maldives to get away from Christmas. I ended up with short ribs that were inedible, no salad starter, no water offered, no bread roll. I just couldn’t eat it. So basically my husband and I have spent £20,000 on 2 return seats to be blinded by lights on and left starving. No apologies. Watch out BA as Virgin start flying direct in October. As always you rest on your laurels and treat your customers like idiots.",3.0,10.0,"""treat your customers like idiots""",2022-12-22,Boeing 777-300,Couple Leisure,First Class,London to Male,2022-12,no,London , Male
Andrew Wilkes,"Not Verified|  BA cancelled my flight home to Heathrow on Dec 19th. On the face of it, that was sensible as the weather in Iceland was appalling. However, what was not acceptable was that the flight was cancelled only 4 hours before take off time by which time I was already struggling through dreadful driving conditions to get to the airport. I got nowhere near before the conditions became too bad. If they had taken advice they would have spared everyone the need to try and travel on roads that all ended up closed. I am now booked onto the flight on the 21st and downgraded for my sins. Having checked today, as I type they have not cancelled the flight on the 20th despite the road to Keflavík being closed! Do they not check these things? Any help from BA offered - not really.",1.0,10.0,"""cancelled only 4 hours before take off""",2022-12-20,A320,Solo Leisure,Economy Class,Keflavik to London Heathrow,2022-12,no,Keflavik , London Heathrow
S Ward,"✅Trip Verified|  British Airways are not the flag carrier they used to be. The check-in staff at the Club Europe area did not display any premium service and did not provide a good overall service.  The Galleries South Lounge was very busy, but the food was very good. There is a good array of salads, pasta, bread, and hot food available. The festive Turkey and Ham pie was particularly good. The flight was delayed as LHR was very busy on a Tuesday evening. The boarding process was stressful due to the lack of any queue management system and the majority of passengers congregating around the gate. Despite BA using a group system to board, it took almost 1hr to board 240 passengers. The flight itself was good, with a good Club meal service. The bar service was good but it seems that BA have done away with champagne on-board and also in the lounge. A menu is handed out prior to departure with a good food offering for the length of flight. The food was very good, with beef cheek served with vegetables being chosen. BA have always excelled with their catering and this has not changed. The seat is a standard economy seat, with a table in the middle seat for Club Europe, a standard practice for BA. The seat was comfortable, but with limited leg room. The cabin was clean, presentable, and tidy with no issues. The A321 featured Wi-Fi which contains a very good landing page with flight information, access to the Speedbird Cafe menu, access to BA.com, and a good pricing strategy for wither just messaging or streaming also. Overall, the airline is still a good world player, but with clear improvements needed with their ground staff. The cabin manager was very good, but the other crew in Club did not display the expected behaviours in business class. She kept touching her face, not making eye contact with passengers, and seemed uninterested and like she did not want to be there.",6.0,10.0,"""improvements needed with their ground staff2",2022-12-14,A321,Business,Business Class,London to Rome,2022-12,yes,London , Rome
Jeremy Archdale,"✅Trip Verified|  Stupidly tried BA again after a five year gap and paid over £7000 for my wife and I to go to Barbados because I thought the new Business Class layout might rival Virgin Atlantic on the route. About six months ago BA announced they were switching planes to the old antique push-me-pull-you layout but it was too late to reorganise our holiday logistics. Sure enough we suffered the most appallingly uncomfortable flights with no room (eight seats across), worn out fittings, inedible food and surly FAs.",1.0,10.0,"""appallingly uncomfortable flights""",2022-12-12,Boeing 777,Couple Leisure,Business Class,Barbados to London Heathrow,2022-12,no,Barbados , London Heathrow
Andrew Mortimer,Not Verified|  Seat horribly narrow; 3-4-3 on a 777. Thankfully the flight was only a quarter full so was able to stretch out. Food and beverage service was good and it was great having a proper beer not a cup of froth that overflows! Cabin crew very good. Booked as a BA ticket that included travel on Qatar Airways as well.,8.0,10.0,"""Cabin crew very good""",2022-12-12,Boeing 777-200,Solo Leisure,Economy Class,Doha to  Gatwick,2022-11,yes,Doha ,  Gatwick
C King,"✅Trip Verified|  Glasgow to London delayed by 1 hour. My wife and I now accept that a BA flight will be late and delayed. Very rarely on time. As long as you accept this, you won’t be disappointed planning ahead. There’s a high risk of delays. If you are connecting with another airline with OneWorld it’s extremely risky.",3.0,10.0,"""late and delayed""",2022-12-10,A320,Business,Business Class,Glasgow to London,2022-12,no,Glasgow , London
R Vines,"✅Trip Verified|  When I tried to check in online, I was offered an upgrade to premium economy for just under £300. I decided to take it, but then the website wouldn't allow me to choose seats or to check in. I phoned BA and was happy that the call was picked up quickly, but I was then told that because I had changed my booking, I had to check in at the airport. So we turned up three hours before the flight, only to be told that our two adjacent aisle seats in economy had been switched to the middle seats in a row of four in premium. The check-in agent was helpful but couldn't fix and suggested we try the BA desk airside. That desk was understaffed but when we did reach the front of the line, we were told to try at the boarding gate. At the gate, we finally managed to get one aisle seat and one window, not sitting together. After going through that, the flight was surprisingly good, with decent food and very good service. We flew back economy, which wasn't too bad either. The flight attendants were friendly and enthusiastic, and Emma and Daniel, who looked after us, could not have been better. I've obviously learned my lesson about late BA upgrades, but everything else was good.",6.0,10.0,"""learned my lesson about late BA upgrades""",2022-12-10,Boeing 777,Couple Leisure,Premium Economy,London to Boston,2022-12,yes,London , Boston
A Lavochil,"✅Trip Verified|  I flew from Prague to LHR. Excellent service, attentive staff, first drink service, then meal service (choice of three meals), later second drink service. In reality - excellent flight. Couple of days later I flew back from LHR to Prague. Boarding at LHR T5 was a total chaos. Onboard service cannot really be called service: No curtain between business and economy class (which later caused people endlessly passing to get to the toilet). Meal service could not get more unprofessional - 5 rows took two guys nearly 30 mins to serve. Constantly interrupted (no people passing to the toilets at this time yet). I don´t know if there was any meal choice as no one bothers talking to you. I was served that  afternoon tea consisting of three canapes-like bites and some drink. Why would we bother serving you also a scone. Hardly after 5 mins plates to be taken away - when I asked for my scone it came as a surprise I was not served any (no co-ordination between the crew).  Crew busy chatting at the galley. In reality - the service could not get any worse. One just must ask what do you pay the premium price for?",3.0,10.0,"""No curtain between business and economy class""",2022-12-09,A320,Solo Leisure,Business Class,London to Prague,2022-11,no,London , Prague
T Darsen,"✅Trip Verified|  I was flying to Warsaw for one day of meetings and would be flying back out to Miami the next day. Initially my flight was delayed in Denver by 3 hours. As such I knew I would miss my connection in Warsaw. The Denver to Heathrow flight was terrible. The plane was dirty, I was in economy, I usually fly business or Premium Economy but on this flight there was no availability. The plane was only about 2/3 full and the service was not good. My food was inedible and the seats very cramped although the middle seat was open so that made it tolerable. When i arrived in Heathrow it was a complete circus. Passengers everywhere trying to rebook missed connections. Not only my flight but multiple other flights had missed connections. After waiting in line for an hour I was finally rebooked on another BA flight to Warsaw. This plane was the smallest 3x3 plane I have seen. Packed in like sardines. My bag never showed up so i had to cancel my meeting and now have no bag to fly back to Miami. BA has shown no desire to help other than to give me standard answers and that hopefully my bag will show up in Miami at some point and I can retrieve it from there. I mean the bag is sitting in Heathrow somewhere with 6 different fight options to get it to Warsaw yet BA in unwilling to do anything to expedite getting my bag to Warsaw before I leave for Miami the next day.",1.0,10.0,"""My bag never showed up""",2022-12-03,Boeing 787-9,Business,Economy Class,Denver to London,2022-12,no,Denver , London
Ian Sinclair,"✅Trip Verified|  Booked a BA holiday to Marrakech, after posting a negative review regarding my double tier points credit, I can now confirm that the points have been credited. It took a while but BA did eventually make good on their promise, thank you. Based on things now being resolved I have travelled on BA since and I am booked to travel to South Africa in First class on 2nd January, looking forward to the new BA Concorde lounge. Keep it up BA, loyalty is indeed a 2way street.",9.0,10.0,"""eventually make good on their promise""",2022-11-30,A320,Solo Leisure,Business Class,London to Marrakech,2022-06,yes,London , Marrakech
S SI,"✅Trip Verified| Extremely sub-par service. Highlights: No online meal selection. Staff pretty much dropped off whatever meal they had and were very rude if a passenger wanted it changed. Last meal was delayed to the last 40 minutes of flight. Plates were literally grabbed away. I had to hand over my unfinished plate that the staff again dropped on me. No apology. No offer of a napkin. I had to scrounge for a piece of paper to clean my jacket. None of the passengers were told to straighten up their seats before meal. Because the seat before me was so tilted, I could barely keep the plate on the tray without things slipping off. Staff walked down with some water and biscuits. This got exhausted just before she got to me. She just looked at me and walked away. Nothing further was offered.",2.0,10.0,"""Extremely sub-par service""",2022-11-28,A380,Solo Leisure,Economy Class,San Francisco to London,2022-11,no,San Francisco , London
R Vines,"✅Trip Verified|  I virtually gave up on British Airways about three years ago, writing off my Avios and opting for other airlines. But my return flights from Heathrow to Lisbon this week were very good. The aircraft were pretty much full, but the service was excellent and the food surprisingly good. A particular shout-out to a flight attendant called Jo, but all the teams there and back were enthusiastic and attentive. I'm going to have to start spending those Avios.",7.0,10.0,"""the service was excellent""",2022-11-26,A320,Solo Leisure,Business Class,London to Lisbon,2022-11,yes,London , Lisbon
Connor Heward,"✅Trip Verified|  I was pleasantly surprised that the airline could maintain a steady schedule with little delay considering the time of the year and the weather. The flight from Montreal was my return flight to Scotland, but I originally booked to fly to and from Toronto, but the airline helped me cancel and I rebooked for a cheaper flight. The inflight service was pretty decent andthey do offer a blanket and pillow. As well they walk through the cabin offering drinks and handing out a small snack prior to the leading meal service. While the food was typical air plane food. I thoroughly enjoyed my flight and had no issues at all with my flights.",7.0,10.0,"""I thoroughly enjoyed my flight""",2022-11-25,Boeing 787 / A320,Solo Leisure,Economy Class,Montreal to Edinburgh via London Heathrow,2022-01,yes,Montreal , Edinburgh via London Heathrow
J Meares,"✅Trip Verified|  Flying LHR T5 to CPT November 2022:  BA app and website not working properly - would not load my ticket. LHR T5 smooth and calm. Checking process quick. - But boarding card would not scan at security, they gave me one for someone else to a different destination.  Ran back to checkin to get correct one. Bags also tagged incorrectly and had disappeared.  Someone ran off to find my bags in the depths of T5 and retag them (amazingly they did show up in Cape Town).  Told only main lounge was open not B and C pier lounges. Turns out this was false information ... B Pier lounge was open. But I was in main lounge which was overcrowded and worn out. -Arrived late to the gate (train not working). There was a Biz class lane (quick) but then a giant queue to get on the plane as they only had one airbridge, not two. Seat comfy and cabin clean but the sinks were taped up as the waste was not working. I was offered hand sanitiser instead but this is disgusting (imagine going to the bathroom and not being able to wash your hands as there is no sink). Unbelievable that BA dispatches planes in this condition. Food average. Wine served way too late (choice of wine with cold food, or eat food first and matching wines come a quarter of an hour later). Overall experience 2/10. Flew Air France (Fortalaza to CDG to LHR) two weeks earlier which was way better. How embarrassing for BA.",2.0,10.0,"""lounge was overcrowded and worn out""",2022-11-18,Boeing 777,Solo Leisure,Business Class,London to Cape Town,2022-11,no,London , Cape Town
R Gonzaga,"✅Trip Verified|  Check in was a shambles at BWI, just 3 counters open for a very full flight. The bag drop queue was even longer than the regular check-in queue! Boarding was done by zones so that was carried out reasonably well. Once on board, the FAs were fine, not as engaging on my outbound flight to IAD. The aircraft was cramped and the seats in economy were horrible. I was seated in an aisle seat (row F) where there is an entertainment box taking up a third of your legroom. Overall, very cramped seat, poor legroom and awful IFE screens. The meal was mediocre and there was no bar service before the meal this time. On lading, we were served a hot sandwich which had oozing cheese all over the wrapper so it was not pleasant to handle but tasted very good! The plane landed at a remote stand which meant that we had to be bussed to T5 and since it was raining, it was not a nice experience. Overall, I rate this just as a mediocre journey.",5.0,10.0,"""rate this just as a mediocre journey""",2022-11-07,Boeing 787-8,Solo Leisure,Economy Class,Baltimore to London Heathrow,2022-11,yes,Baltimore , London Heathrow
C Barton,✅Trip Verified|  London to Gibraltar on 25th October 2022. I booked my flight several months ahead of travel and was rather disappointed by the experience.  BA attempt to nickle and dime the customers with outrageous seat selection prices. Offering of a very small bottle of water and a nutribar as a breakfast and one gains the impression of where BA aim to be positioned at of late. The A320 has was no inflight entertainment or a route map. The staff disappeared for most of the flight. The flight was punctual but I felt cheated and under whelmed by the experience.,6.0,10.0,"""under whelmed by the experience""",2022-10-31,A320,Solo Leisure,Economy Class,London Heathrow to Gibraltar,2022-10,no,London Heathrow , Gibraltar
Amanda Edgar,"Not Verified|  I’ve generally been a loyal Gold status flyer with BA if they fly the route I’m after but my recent flight to Nairobi was about as abysmal as you can get. We should have departed at 10:20 but after continuous delays finally left 4.5 hours late, not ideal when you’ve then got an 8hr + flight. Staff informed us virtually as we took off that the meal and drinks service would be started and completed asap as they needed to get rest because of hours we had been delayed. They couldn’t get it out and away quickly enough. That was then basically the last you saw of them until they came around an hour or so before landing. I sincerely hope they enjoyed their rest because when you pay full fare for business class service you actually expect a service. They were all extremely miserable and clearly didn’t want to be on board. We’re still waiting for you to pay our compensation that has been awarded to us by the official ombudsman in July for the cancellation of our flight to Miami in March. This was cancelled at 3am for the 2:30 pm flight !",1.0,10.0,"""about as abysmal as you can get""",2022-10-30,Boeing 777,Solo Leisure,Business Class,London Heathrow to Nairobi,2022-10,no,London Heathrow , Nairobi
Peter Pomeranze,"✅Trip Verified|  A great flight. The suites on this aircraft really provide maximum comfort. British has returned to full service so meals were coursed, menus and hot towels provided…etc Food was quite good with choices provided for both meals. Service was ok, I prefer to have the same person serving me rather than a hodge pudge but that’s my preference. Entertainment was good as was connectivity. No real complaints except a minor one. The tray table seemed far from me while eating in its closest position. I actually felt like I was in a true business class, not by Qatar’s standards, but that’s another story.",9.0,10.0,"""has returned to full service""",2022-10-30,A350-1000,Solo Leisure,Business Class,London to Los Angeles,2022-10,yes,London , Los Angeles
Peter Pomeranze,"✅Trip Verified|  I am happy to say that this flight was quite good. Except for the second rate Euro business seating, everything was very well done. A friendly, informative cabin crew served a good hot breakfast while being very communicative to folks nervous about Heathrow transit. Well done. Unfortunately, a bus gate was used upon arrival.",9.0,10.0,"""this flight was quite good""",2022-10-30,A320,Solo Leisure,Business Class,Copenhagen to Heathrow,2022-10,yes,Copenhagen , Heathrow
P Marten,"✅Trip Verified|  Just a few years ago flying on BA was enjoyable, but times have changed. These days about five hours on board the plane is no fun at all. The Terminal 5 experience still feels classy, and on the way out it felt well staffed and efficient. On board though, it’s just become an experience to be endured. BA’s mean decision to split seats into nicer for the first half of the plane, and nastier for the rest underlines this. There is no entertainment, no magazine. Refreshment purchases are brought to the seat after ordering from an app. There is no attempt to provide fresh or hot food on the day, despite the competition being able to do this. Is it too much to ask for, when trapped on board for five hours? You get a free tiny bottle of water and a small cereal bar. On the outbound flight the crew collected rubbish just once before landing, but helpfully tied a bag around a toilet door down the back in case anyone wanted to fight their way past and clear things up themselves. Recline buttons have been deleted on the seats and the seat pitch feels squeezed. On the return flight, for one reason or another due to BA’s delays from the previous day, we were just under two hours late getting off the plane late in the evening and some passengers couldn’t travel at all because there were not enough crew. The cabin crew were nonetheless distinctly more professional on this flight. Altogether, I would say good things if there were any - but it’s hard to think of anything I could recommend BA for; and that is a pity, because it used to be a professional company to deal with and a pleasure worth looking forward to when making European journeys.",3.0,10.0,"""no attempt to provide fresh or hot foo""",2022-10-25,A320,Family Leisure,Economy Class,Larnaca to London,2022-10,no,Larnaca , London
R Hardell,"✅Trip Verified|  A very positive experience with BA. Seats were new style club seats and very comfortable for sleep. Food was fine but not outstanding. Wi-Fi good, and video screen large and bright. Baggage came out very quickly at Heathrow, had the same experience on the return flight to Atlanta. All in all, would fly BA again, but would probably want to make sure it is new seats.",9.0,10.0,"""A very positive experience""",2022-10-24,Boeing 787-10,Couple Leisure,Business Class,Atlanta to London,2022-10,yes,Atlanta , London
M Nettles,"✅Trip Verified| Baby across the aisle cried nonstop and crew yakked in the galley so on this long flight there was no possibility for any sleep or even rest. Mentioning to a crew member that their colleagues were talking loudly made no difference at all. My second meal was something inedible, no way to get a simple bag of crisps or nuts, instead an assortment of dried something. Baggage took 3/4 hour to be delivered and had no priority for Club or even First passengers; we were all kept waiting after many economy bags had been delivered. A380 is a great aircraft but the BA seating is still the very tired old yin/yang configuration with some people stuck in the middle of 3 seats (probably not what anyone is expecting in business class these days)",2.0,10.0,"""Baggage took 3/4 hour to be delivered""",2022-10-23,A380,Solo Leisure,Business Class,Madrid to San Francisco via London,2022-09,no,Madrid , San Francisco via London
R Gonzaga,"✅Trip Verified|  Evening flight from LHR to IAD on an A380. Check in at T5 is poor, most of their kiosks don't work well and staff have to be called. Boarding was very poorly managed. The ground staff were overwhelmed because it was a full flight and were struggling to manage passengers. The gate was small and there was insufficient seating for such a big aircraft. The flight was full and it left 50 minutes late but the pilot kept us informed on this issue. Once airborne, service started quite quickly and the cabin crew were very pleasant and helpful. They did their job very professionally and efficiently. They answered the call bells promptly and nothing was too much trouble. They started out with a bar service and were generous with drinks and then came the meal service and the food was very good. The IFE was old and clunky but had sufficient movies and TV programmes for a 7.5 hour flight. The seat was comfortable but legroom was tight. All in, it was an uneventful journey and I would give it the thumbs up but ground services needs attention.",8.0,10.0,"""cabin crew were very pleasant and helpful""",2022-10-22,A380,Solo Leisure,Economy Class,London to Washington,2022-10,yes,London , Washington
Ben Mallinson,"✅Trip Verified|  We boarded our flight at Edinburgh to London for our connecting flight to San Francisco on 4th October, there were a lot of Americas heading back to America from Scotland because of the Open Golf at St Andrews. The woman at the counter was rude, I was actually embarrassed to be British at the time. Shouting, snapping at people and just had a real horrible way about her. On the flight from London to San Francisco, prior to the 24 hour check in, I spent £150+ to reserve two seats for our once in a life time holiday to America. Once we boarded, it was evident that the seat I was sitting in was broken. The recliner button was not working and had been pushed into the frame of the arm rest. I asked the flight attendant at the time of there was anything that could be done, but not only was she also rude, but seemed uninterested in that fact that I was going to have to sit for 11 hours on a flight with a seat that wouldn't recline. I eventually got the flight to state that she would report the fault, only to find out that multiple other seats on the economy seating area were also broken. Attitude with British Airways staff has been absolutely horrendous. So, after getting off the flight, I decided to make a complaint to British Airways. Bearing in mind that I had paid £150+ for the privilege of picking a seat. I asked for a refund for the cost of the booking of the seat prior to the 24 hour check in, only to be told no, they don't do refunds. I paid for a product that was broken, met with nothing but rude staff, and they are telling me they can't refund the cost of booking the seat? 4 emails to the customer team and they are still refusing, they are also refusing to tell me whether or not that the fault was reported prior to me sitting in that seat. All they have now offered me is a £50 BA voucher, which I declined on the basis that if they picked my seats (for example I hadn't payed for the seats prior to the 24 hour check in) then a £50 voucher would be ok, but not when I have spent my own money to select a seat that was broken. After all my experiences with BA, I will not be using them again. Very rude and unhelpful staff and I will chose another carrier in the future, im actually ashamed that BA treats people the way they do when they are a national airline for Great Britain.",1.0,10.0,"""Very rude and unhelpful staff""",2022-10-22,A380,Couple Leisure,Economy Class,London to San Francisco,2022-10,no,London , San Francisco
L Pulliam,"Not Verified|  LHR-LAX. I prefer the Boeing 777 over the A380 as the seats don't seem too cramped. Check-in was very easy with the kiosks as was bag drop and security at Heathrow. T5 is a whole other story. Once through security its up the escalator, up the stairs, up the elevator, down the escalator get to the gate, no seating, then down an escalator and finally down the jet bridge to the plane. I have been in and out of Heathrow many times but never in T5 before. Anyway cabin crew were pleasant; drinks and meal service were fine. It was a day flight so no real sleeping and passengers were all moving around most of the flight. The entertainment system was good with decent options, so I occupied my time with several movies. Nice landing at LAX. All in all BA was just fine.",7.0,10.0,"""All in all BA was just fine""",2022-10-17,Boeing 777-300,Couple Leisure,Economy Class,London to Los Angeles,2022-10,yes,London , Los Angeles
Richard Hodges,"✅Trip Verified|  Flew back to UK from Miami in new Club World Suite - a huge improvement on the elderly Yin and Yang style Club World. Boarding easy. Took off 1/2 hour late due to delayed incoming aircraft but made up this time on way back and landed on time. Very comfortable suite with plenty of storage for bits and pieces. Bedding and large pillow supplied. Attentive FA's - especially Anna who addressed me by name). However, let down by very average catering (not very good short rib beef and underwhelming salmon for my wife). And, sadly, once again a very poor choice of films on the IFE which let down the excellent 17inch touch screen. Refused to pay BA's extortionate pre-pay to book your seat fees, and still got 2 seats together. C'mon BA - do we not pay enough already to travel Club Class ? I can recommend BA's new Club Class and we will travel this way - if we can afford it - in future.",8.0,10.0,"""recommend BA's new Club Class""",2022-10-17,Boeing 777,Couple Leisure,Business Class,Miami to London Heathrow,2022-10,yes,Miami , London Heathrow
E Smyth,✅Trip Verified|  I flew with hand baggage but security at Dubai was quick. Entered lounge which was a bit small but good and drink offerings sound. Flight on A380 left on time. Few technical issues with IFE which would have been really irritating had it been a day flight. Decent snack and slept well. Arrivals lounge excellent. Would recommend.,9.0,10.0,"""Would recommend""",2022-10-17,A380,Solo Leisure,Business Class,Dubai to London,2022-10,yes,Dubai , London
Steven Solomon,"Not Verified| London to Cairo. First, on this 5 hour mid morning flight the only complimentary food and drink were a tiny bag of pretzels and a small bottle of water. Even Southwest is more generous. When unable to connect my phone to order food, I hit the FA call button with no response for more than an hour. When the FA came to collect garbage I had to show him the call light and he gruffly asked me what was the matter. He used his phone to place the order.",1.0,10.0,"""hit the  call button, no response for an hour""",2022-10-16,A320neo,Couple Leisure,Economy Class,London to Cairo,2022-10,no,London , Cairo
Adam Kirk,"✅Trip Verified|  This review is specifically about Maddie, crew member who took care of us. She was attentive, warm, friendly and nothing was too much trouble. Smiling from start to finish. She should be the brand ambassador for BA.",10.0,10.0,"""She was attentive, warm, friendly""",2022-10-15,Boeing 777,Solo Leisure,Business Class,Orlando to London Gatwick,2022-10,yes,Orlando , London Gatwick
S Keane,"✅Trip Verified|  5 hours in a cramped single aisle aircraft, no inflight entertainment. In economy there is no free catering other than a bottle of water a packet of crisps and a minimal selection of food items for purchase.",3.0,10.0,"""cramped single aisle aircraft""",2022-10-14,A321neo,Business,Economy Class,London to Cairo,2022-10,no,London , Cairo
L Pulliam,"Not Verified|  DFW-LHR. Had an easy transfer at DFW from American Airlines to British Airways heading to London. First ride on an A380 left me with the feeling that this plane type won't ever be my first choice. Was seated upstairs where the cabin space seemed very roomy, but the seats and rows were very cramped. When the passenger in front reclined the back of the seat was 7 inches from my face and I had a real difficult time trying to view the seat back entertainment screen. The seat itself wasn't too bad but I felt squished and locked in. On a plus side, having a window seat gave me this nice storage area by my side. Ground staff were pleasant and cabin crew were really nice. Plenty of beverages offered and multiple water runs were made during the night. Dinner was rubbish as was the morning pre-landing snack. The entertainment system was very responsive and had a pretty good selection of movies, tv, music and games. All in all it was an OK experience and did get me to London on time and our baggage arrived safely, but I'm not sold on the A380. T5 at LHR is another story that will be in a different review. What a mess that place is.",6.0,10.0,"""it was an OK experience""",2022-10-06,A380,Couple Leisure,Economy Class,Dallas to London,2022-09,yes,Dallas , London
John Rolfe,✅Trip Verified|  Check in at Jersey straightforward. There is a small business class lounge at Jersey with reasonable drinks range and some limited food. Flight boarded on time but take off was delayed due to poor visibility at LHR. Captain kept us well informed and we eventually took off 50 mins behind schedule with a 20 minute late arrival at Heathrow. Good service from the cabin crew and a bacon roll and coffee served. Disappointing that the wait for cases at Heathrow T5 was as long as the flight!,7.0,10.0,"""wait for cases at Heathrow T5""",2022-10-01,A319,Couple Leisure,Business Class,Jersey to London Heathrow,2022-09,yes,Jersey , London Heathrow
John Rolfe,"✅Trip Verified|  Check in at LHR T5 was very quick and queue for security short. We used the South Lounge which was supposed to be the quieter at the time, but was very busy and difficult for our group of 3 to get seated together. Flight boarded on time. Whilst this is only a short flight (35 mins) the service of the cabin crew was outstanding. Glass of champagne, Coronation Chicken Salad and a coffee all served with a smile and a little banter. In spite of some of the issues with BA, their cabin crew are usually exceptional and this was no exception. Flight landed on time and bags delivered quite promptly.",8.0,10.0,"""cabin crew are usually exceptional""",2022-10-01,A320,Couple Leisure,Business Class,London Heathrow to Jersey,2022-09,yes,London Heathrow , Jersey
